id,pair_id,synapse_type,latency,psp_amplitude,psp_rise_time,psp_decay_tau,psc_amplitude,psc_rise_time,psc_decay_tau,meta
3722,93146,in,0.000967418103893484,-0.00276511729585021,0.00536974877141362,0.0588634129608738,1.40738257069376e-11,0.000460975628037492,0.00424822328077671,
3801,85669,in,,,0.00465395965792375,0.00681003076024899,,0.000566449517475289,0.00189840525803151,
3784,85664,in,0.00111803343390689,-9.98772086650936e-05,0.006722438597336,0.00999986327619826,7.85496777901543e-13,0.00220816654597511,0.00539246424488466,
3818,85599,in,0.00155387742466578,-2.11045124722456e-05,0.00590410863207676,0.00946052864195741,3.76297933725838e-13,0.00142312299696884,0.00322055915701539,
3822,85612,in,0.0010921731344023,,,,1.76466332988154e-12,0.00168656977690156,0.0020519566937609,
3971,42210,in,0.000847215717513913,-0.00315790352190622,0.00289884034685056,0.0146319362748909,,,,
3977,42208,in,0.000568181707192165,-0.00097660178752664,0.00309486997662727,0.0122796702806131,,,,
3992,42204,in,0.000540306968482353,-0.000475100682128901,0.00327785632118376,0.0144962056501692,2.58941167199522e-12,0.00121035537356739,0.00328354051806772,
4001,42202,in,0.000407816291562657,-0.000282936176628014,0.00379420337167262,0.0104266359670408,1.72233574571511e-12,0.00252158555004877,0.00156117379290049,
4178,142015,ex,,,,,,,,
4203,141769,ex,,,0.00294622734362655,0.0111072640521947,,0.00188974230972352,0.00496777493010685,
4196,141762,ex,0.00101803758092293,0.000319622195414562,0.0026515270705584,0.0052688782637642,-2.36105375990689e-12,0.00152513681825905,0.00428696227984862,
5164,35457,in,,,0.00625334238049754,0.0547555690982132,,0.00137541444340721,0.00421218836494843,
4627,165859,ex,,,0.00482450209412576,0.0262431191805083,,0.0028227010135615,0.00646419207274709,
5396,42738,in,0.00135055313936647,-0.000107984546178103,0.00244797504679102,0.005,1.30250829738571e-11,0.0010545692458144,0.00200532872663359,
5414,42715,in,0.00103024172842946,-0.000272409836720061,0.0129006179976013,0.0252249875588721,2.8112564312087e-11,0.000903417383623082,0.00204649469447269,
5419,42696,in,0.000836205334934316,,,,4.84093319864725e-12,0.00067639039991979,0.00145609859134364,
5767,46342,ex,,,0.0035889515267515,0.0138990742045373,,0.00091364168001949,0.00207530856429074,
5798,46383,in,,,0.00712980339896866,0.0142169367618385,,0.0034711000924265,0.00178991164836404,
5758,46340,ex,0.00108498238103525,1.08340467884576e-05,0.00343065610554171,0.0422921198396025,-1.00922799872484e-12,0.000534719503584027,0.00613919351153265,
5783,46370,ex,0.00132591435465444,7.90408812020414e-05,0.00302303936175476,0.0269980863236695,-8.63239842066089e-19,0.000806286056317685,0.00203908453676273,
5790,46378,ex,0.00189916018647381,7.70371934253964e-05,0.00284875985947759,0.0110601562641765,-2.47939292768883e-12,0.00132947086122937,0.00246166009042562,
5795,46381,in,0.00125233358756535,-0.000152877132974949,0.00906506923597778,0.108724882891504,4.0153847215141e-12,0.00226655824560147,0.00824747456103903,
3788,43215,in,,,,,,,,
3575,154426,in,,,0.00322772414865167,0.0185384182040861,,0.000808577135817453,0.00198845090639263,
3824,43190,ex,,,,,,,,
3808,43201,ex,0.0012067025527302,0.000299962715921413,0.00494243027235997,0.010179053286395,-3.94921801533726e-12,0.0032262579365987,0.00607148326981303,
3972,42700,ex,,,,,,,,
3998,42698,ex,,,,,,,,
4020,42697,in,,,,,,,,
3985,42699,in,0.00415862228745812,,0.00642287306418999,0.00882934782796814,2.58244867610931e-12,0.00370826929219757,0.00680879589749948,
4710,169052,in,0.00147873055598783,-0.000734361560379946,0.00618430840944604,0.200961767351049,5.47067999417057e-12,0.000798105035721923,0.00320119929021351,
4789,4056,in,0.00118872356628715,,,,,0.00083584043846589,0.000857056615966126,
5802,46388,in,0.00135815778643201,-1.80329478990026e-06,0.00628943599975202,0.0384875254440419,1.12862872337686e-12,0.00239080186196883,0.00326923776292081,
5803,46390,in,0.00134303616641942,-3.67202642758357e-05,0.00687344695126237,0.0171130014940015,1.85451168785507e-12,0.002116417661569,0.00284851627302021,
4230,785,in,0.000989688536101283,,0.00341371325709358,0.0067261769637253,1.35428404888588e-11,0.00083945563937892,0.00178438837151382,
4256,735,in,0.00102136412686382,-0.000441948397353401,0.00488807854453188,0.018100665354214,6.45274453471158e-12,0.000100000107495796,0.00334975331837459,
4863,3959,in,0.00120140926081457,-0.00102196285582172,0.00297839147059905,0.0126787903606642,1.81656357769879e-11,,,
4806,4036,in,0.00169605669840907,-0.00145601098324756,0.00321012320823363,0.0482267530965315,1.44778499946135e-11,,,
5153,30427,ex,0.00148858746878071,0.000525352707966032,0.00232944839238668,0.0182350129774566,-7.46615105065361e-12,0.00121747624139231,0.0021772160225887,
4819,4012,in,,,,,,,,
4834,3997,in,,,,,,,,
5887,179962,ex,0.00188117076368209,0.00243200260287112,0.00339282399338344,0.0189526967881368,-4.4699674524418e-11,0.00112663256683103,0.00259422501138159,
4852,3966,in,,,,,,,,
3580,154483,in,,,,,,,,
3573,154405,in,0.00107656629668359,-0.00128293575540865,0.00290355981837319,0.00920583009129885,4.42036596583509e-11,,,
3141,140220,ex,,,,,,,,
5067,170971,ex,,,0.00315509513248864,0.015613054644849,,0.00168296708590292,0.00665849849297072,
5897,180187,in,0.00127320167737073,-0.000617812720944074,0.00624295184680649,0.0360409713576832,3.57201239034833e-12,0.000589403560730461,0.000970517530380451,
5915,180195,in,0.00128506876872521,-0.000642557710384971,0.00355267226314572,0.028569887394021,1.21196134321114e-11,,,
5926,180329,ex,0.00187133922616941,0.00195329948625744,0.00312305361472149,0.0129343587449699,-2.87735282176362e-11,0.00135132611487354,0.00159723308541255,
5606,157438,in,,,,,,,,
3577,154451,in,0.00147627361261901,-4.26113738927488e-05,0.00359719622295787,0.020652380573622,,,,
3578,154461,in,0.00113213935738098,-0.000983804160658861,0.00321878731718646,0.0108238858473647,1.51888736241135e-11,0.00135967897868197,0.00218879206666836,
3579,154468,in,0.00116179478314658,-0.000270288281720108,0.00337015884264215,0.0123935758845797,3.31337577549248e-12,,,
3581,154557,in,0.0009224750753666,-0.000205103075826347,0.00215162400701575,0.00581332920374255,,,,
3582,154561,in,0.000802754545968362,-0.000289240061509267,0.00225424029210698,0.00583985308291818,7.03267803486368e-12,,,
3617,155388,ex,0.00201074227340788,0.000631810835023661,0.00213253543598616,0.0173679744757456,-1.68389554585642e-12,0.00110056959377792,0.00183466275965877,
5933,180379,ex,0.00182919364402717,0.00172264420168782,0.00206464328396479,0.0107016432901,-2.60748170573534e-11,0.000685887087235914,0.00164137721281922,
5623,157429,in,0.000488162919290292,-0.000254577367319399,0.00431377813092999,0.064500482560599,1.33082402567151e-11,,,
5633,157418,ex,0.00143143041785184,0.000642411334765323,0.0012656064745097,0.00615449328518431,-2.03834270371321e-11,0.0007718645382014,0.0011512796161848,
5650,157389,ex,0.000948142354874337,0.000158110655572009,0.00143908240551578,0.012776788681583,-2.31171906126085e-12,0.000952678022521913,0.00276868103240289,
5667,157375,ex,0.000771172602779292,0.00100645131154402,0.00110759975702025,0.00500000000446886,-3.76015817842342e-11,0.000818161793103821,0.0012623802159564,
5682,157470,ex,0.000766424456903486,0.000102366320267064,0.00100406025128628,0.00849128613545329,-1.76820685534952e-12,0.00088271408083619,0.0035073937396268,
6100,188189,in,0.000929349403326702,-0.000273628324102298,0.0037261357187635,0.0283089252312631,5.88413195710531e-12,0.000994133509989797,0.00397691927842491,
6085,188244,ex,0.000951081193670301,0.0012582694284487,0.00153692888138829,0.00685421560392574,-5.25120647127598e-11,0.000750491403765761,0.00109895789798379,
4181,129638,ex,0.00190286264407439,1.56842620267134e-05,0.00313599368691051,0.00504322700711075,-6.5537721952884e-13,0.000753636095504179,0.00322946679076606,
2367,90692,in,0.00162162396760452,-0.000429155556415324,0.00717643522389224,0.0347301685269594,1.46025910400062e-12,0.00484427461849699,0.015719302542805,
3507,154227,ex,0.00075220061054311,0.000167419603209658,0.00109115389213471,0.00710405115446216,-1.13060369894623e-11,,,
5264,110973,ex,,,,,,,,
5837,171574,in,0.000817533977104835,-0.00092959724737959,0.00240149494580468,0.00744118863198859,,0.000680618344299033,0.00656674479377037,
5848,171588,in,0.00107861283341546,-0.000733879326455403,0.0030000871566712,0.0396603733574404,,0.0014975114303563,0.00549854012777505,
3518,154100,ex,0.000985199316387668,0.000771102137582813,0.00141959425506384,0.00500000000034095,-2.83000617066129e-11,,,
3523,154104,ex,0.00113025065036063,0.00044289731653554,0.00143239803580909,0.00993024858720935,-1.8054332814838e-11,,,
5273,110969,ex,,,0.00344334110467735,0.0103215258828215,,0.00124892978648457,0.00249697345140299,
3530,154147,in,0.000635348271839445,-0.000669091492260206,0.00418287447458489,0.0184333255232372,8.60113562921072e-12,,,
3973,46280,in,,,,,,,,
4002,46288,ex,,,0.00217409847982944,0.0130996621323661,,0.000697428221732523,0.00182368455251803,
3986,46286,in,0.0013423359530342,-3.62430519388488e-05,0.00466745842268036,0.00653906053317682,1.90073064414272e-12,0.00292008962522416,0.0113275442140414,
4768,169627,in,0.000860526234629853,-0.00032355574755011,0.00501573814562258,0.0260505842280891,6.66346202201132e-12,,,
4764,169618,ex,0.00099083238331803,0.000504817871969966,0.00125787825468579,0.0066283966003801,-2.50074611671434e-11,0.000416146981598763,0.00109970654463397,
4770,169642,ex,0.00227990096077347,9.13133589288665e-05,0.00389880650099929,0.0101599962471622,-1.20293005050604e-12,,,
5253,110977,ex,0.00192457452791313,0.00020565442576043,0.00522612253880296,0.0247636012930115,-2.20934672594004e-12,0.0051725317967043,0.00183585592223547,
5283,110968,ex,0.00153759799567034,0.000282725826906178,0.00449816458632517,0.0110742340010829,-1.18584769591173e-11,0.00229833129401157,0.00240969924589362,
5294,110965,ex,0.00193127986822418,0.000458214378236102,0.00843198614452572,0.0171765071349829,-1.12894866548543e-11,0.00466518813689899,0.00749621720402243,
5311,110957,ex,0.0012362091445578,0.000485471029804306,0.00467200488691124,0.0199533174992402,-2.1287738974938e-11,0.0025269673248773,0.00355763423726874,
5316,110948,ex,0.00168065516036012,,,,-8.76383233431948e-12,0.00190359396317095,0.00573121977297145,
5417,388,in,,,,,,,,
5400,378,ex,0.00136172489268978,,,,-1.01286327302558e-21,0.000448249798732967,0.00238968296689009,
5407,387,in,0.0013884110270717,,,,1.09070737231596e-12,0.00194339663214914,0.00509047223757914,
5607,102192,in,0.00132803609555906,-0.000160729860815803,0.0049778110598768,0.03836951117666,2.27344804279827e-12,,,
5628,102189,in,0.000932969856390431,-0.00133034119599066,0.00847377850564682,0.297582370622701,1.0654797527451e-11,0.000615448718228773,0.00191643832099422,
5642,102180,ex,0.00136859380368596,0.00175522806028167,0.00309587924681914,0.0171957630742154,-2.4659069331524e-11,0.00114839870294276,0.00113092277982096,
4674,141013,ex,0.00147844433384374,0.00031501774863008,0.00318588959675357,0.0216136832380696,-1.31294424173728e-11,0.00205801475674727,0.00516179513828814,
4681,140820,ex,0.0016632704587089,0.000453377884080251,0.00685963822755328,0.0266720477031086,-1.78962928455319e-11,0.00432396723497254,0.00836743645888493,
5759,171613,ex,0.00104650285900771,0.000253776756399978,0.0025903249195457,0.00918619924580292,-3.90207307829875e-12,0.00127143415694915,0.00554463405495584,
5070,172722,in,,,,,,,,
5078,172729,in,,,,,,,,
5154,36884,ex,,,0.00616962733515232,0.00769735382400498,,0.00215011792182414,0.0106447172613981,
5771,171638,ex,0.00225611013221744,3.03788314138965e-05,,,-1.64153559068981e-12,0.00139580091238453,0.00566108008167033,
5777,171631,ex,0.00127548507120921,5.54554881762711e-05,0.00453788493185016,0.0199790619074382,-2.48232023977737e-12,0.00107955939048385,0.0127989234973346,
6101,186560,ex,,,0.00288573907790701,0.00895433552051201,,0.00226804986517519,0.00341110836017226,
6110,185777,ex,0.00147764922414199,0.000381672689077829,0.00326938209898068,0.0110888912530072,-7.19582161149494e-12,,,
6088,186641,ex,0.00160754734715833,0.000653715090933395,0.00452013108075832,0.0292302298423411,-1.3295126570075e-11,0.00213885256193673,0.00364922563711647,
5354,114090,ex,,,0.00515388547893224,0.0949729053190711,,0.00200512184327425,0.00918457755368109,
5197,35427,ex,0.00273742067553972,0.000438071464843061,0.00289090920874406,0.00500000005220057,-2.17192262878975e-12,0.000980595257922287,0.00289134843378567,
5215,35436,ex,0.00258121595010122,0.000587015223268182,0.00517477232715846,0.0323638232470757,-5.12134354579133e-12,0.00216981815834596,0.00538818490058375,
5761,142543,ex,,,,,,,,
570,40502,ex,,,0.00277479038901413,0.00806133522249337,,0.00188261308142472,0.00118264059512279,
5157,35395,in,,,,,,,,
5254,114164,in,0.00419165405587383,-0.000943618177657344,0.00801011506471308,0.0246989695889857,4.41550317635758e-12,0.00725378699570585,0.00436880862503821,
5282,114053,ex,0.00222048989268364,0.000627941660457519,0.00631547964800314,0.0439541513809191,-1.8480574021768e-11,0.00532680480568222,0.0107422637789672,
5299,114016,ex,0.000865946449695327,0.000658309390267643,0.00305341116166903,0.00500000000001063,-7.41533811173532e-12,0.0023741495119746,0.00367124804740104,
5329,114123,ex,0.0024749382225252,0.000503998204326116,0.00620907160959589,0.0334389928255073,-5.84370157850075e-12,0.00474573050163662,0.00781419484420308,
5369,114085,ex,0.00144049836435931,0.000520263073613741,0.00775167313241563,0.498807265054124,-4.35268774520461e-12,,,
5780,142410,in,0.00445105488403266,-0.000794164799675158,0.00811113495475504,0.0270267248389868,7.31279892121434e-12,0.00363480777137359,0.00554563194584305,
5792,142404,in,0.00411263304984854,-0.000352315502241356,0.00748481718254866,0.0502091670680424,2.75430831168959e-12,0.00328499698360805,0.00497642129835079,
6229,194945,ex,0.00148359925584121,0.000182095757657799,0.00367682066581795,0.0226736341381082,-9.69725907058795e-13,,,
5891,180312,in,0.00231804129621935,-0.000264642355479885,0.00552218979426799,0.0434733445089686,5.59744348156742e-12,0.00137352782172862,0.00816508232974606,
3676,113285,in,,,0.00760802020212793,0.0569958881007113,,0.00323119179659507,0.00283826057944811,
